id	uic	end_date	start_date	quote_date	area_admin_code	nlc	description	crs	resv	ers_country	ers_code	fare_group	county	pte_code	zone_no	zone_ind	region	hierarchy	cc_desc_out	cc_desc_rtn	atb_desc_out	atb_desc_rtn	special_facilities	lul_direction_ind	lul_uts_mode	lul_zone_1	lul_zone_2	lul_zone_3	lul_zone_4	lul_zone_5	lul_zone_6	lul_uts_london_stn	uts_code	uts_a_code	uts_ptr_bias	uts_offset	uts_north	uts_east	uts_south	uts_west
1	7000270	2025-09-01	2025-08-07	2024-09-26	0	0027	TRVCARD 1	\N	00000	\N	\N	0027	00	GL	\N	\N	0	B	TRVCARD 1	TRVCARD 1	TRVCARD 1	TRVCARD 1	\N	0	\N	0	0	0	0	0	0	0	009	000	S	0	000	000	000	000
2	7000270	2025-08-06	2025-07-15	2024-09-26	0	0027	TRVCARD 1	\N	00000	\N	\N	0027	00	GL	\N	\N	0	B	TRVCARD 1	TRVCARD 1	TRVCARD 1	TRVCARD 1	\N	0	\N	0	0	0	0	0	0	0	009	000	S	0	000	000	000	000
