id	station_name	cate_interchange_status	tiploc_code	crs_reference_code	crs_code	easting	northing	minimum_change_time
147	ROTHERHITHE	0	RTHERHI	ROE	ROE	15352	61798	5
148	ROY BRIDGE	0	ROYBDGE	RYB	RYB	12273	67810	5
149	RUGBY	2	RUGBY	RUG	RUG	14512	62759	5
150	RUGELEY TRENT VALLEY	9	RUGLYNJ	RGL	RGL	14048	63191	5
151	SALTASH	0	SASH	STS	STS	12431	60587	5
152	SEABURN	0	SEABURN	SEB	SEB	14394	65596	5
153	SHADWELL	1	SHADWEL	SDE	SDE	15349	61809	5
154	SHETTLESTON	0	SHTLSTN	SLS	SLS	12649	66643	5
155	SHIELDMUIR	0	SHILDMR	SDM	SDM	12776	66553	5
156	SHOREDITCH HIGH STREET	0	SHRDHST	SDC	SDC	15336	61822	5
157	SHOTTLE	0	SHOTTLE	SHX	SHX	14304	63468	5
158	SLATEFORD	0	SLATEFD	SLA	SLA	13224	66711	5
159	SLOUGH	2	SLOUGH	SLO	SLO	14978	61802	5
160	SOTON TOWN QUAY	1	SOTNTQ	STQ	STQ	14417	61108	4
161	SOUTHALL	1	STHALL	STL	STL	15127	61798	5
162	SOUTHAMPTON CENTRAL	2	SOTON	SOU	SOU	14413	61122	5
163	SOUTHAMPTON CENTRAL	9	SOTONB	SOU	SOU	14413	61122	5
164	SPEAN BRIDGE	0	SPEANBD	SBR	SBR	12222	67814	5
165	ST AUSTELL	1	STAUSTL	SAU	SAU	12016	60525	5
166	ST ERTH	1	STERTH	SER	SER	11542	60358	5
167	ST GERMANS	0	STGRMNS	SGM	SGM	12360	60575	5
168	ST PETERS	0	SNDRMNK	STZ	STZ	14396	65575	5
169	STADIUM OF LIGHT	0	STDI	STI	STI	14396	65583	5
170	STAFFORD	2	STAFFRD	STA	STA	13918	63230	5
171	STECHFORD	0	STECHFD	SCF	SCF	14130	62875	5
172	STIRLING	2	STIRLNG	STG	STG	12798	66935	5
173	STONEHAVEN	0	SHVN	STN	STN	13864	67862	5
174	SUNDERLAND	1	SNDRLND	SUN	SUN	14397	65570	5
175	SURREY QUAYS	1	SURREYQ	SQE	SQE	15356	61789	5
176	SWINDON (WILTS)	2	SDON	SWI	SWI	14149	61852	5
177	TAMWORTH	9	AMNGTNJ	TAM	TAM	14213	63044	5
178	TAUNTON	2	TAUNTON	TAU	TAU	13228	61255	5
179	TEIGNMOUTH	1	TEINMTH	TGM	TGM	12942	60731	5
180	THEALE	0	THEALE	THE	THE	14644	61708	5
181	TIVERTON PARKWAY	1	TIVIPW	TVP	TVP	13045	61140	5
182	TOTNES	1	TOTNES	TOT	TOT	12802	60609	5
183	TRING	1	TRING	TRI	TRI	14951	62122	5
184	TRURO	1	TRURO	TRU	TRU	11818	60449	5
185	TULLOCH	0	TULLOCH	TUL	TUL	12355	67802	5
186	TWYFORD	1	TWYFORD	TWY	TWY	14790	61758	3
187	UPHALL	0	UPHALL	UHA	UHA	13064	66706	5
188	UPPER TYNDRUM	0	TYNDRMU	UTY	UTY	12334	67302	5
189	WAPPING	0	WAPPING	WPE	WPE	15350	61801	5
190	WARRINGTON BANK QUAY	2	WRGTNBQ	WBQ	WBQ	13600	63878	5
191	WATFORD JUNCTION	2	WATFDJ	WFJ	WFJ	15110	61973	5
192	WEMBLEY CENTRAL	2	WMBY	WMB	WMB	15182	61850	5
193	WEST EALING	1	WEALING	WEA	WEA	15166	61807	3
194	WESTBURY	9	FRWDJN	WSB	WSB	13862	61520	5
195	WESTBURY	9	HWRDJN	WSB	WSB	13862	61520	5
196	WESTERTON	1	WESTRTN	WES	WES	12541	66705	5
197	WHITECHAPEL	2	WCHAPEL	ZLW	ZLW	15346	61818	5
198	WIGAN NORTH WESTERN	2	WIGANNW	WGN	WGN	13582	64054	5
199	WILLESDEN JUNCTION	9	WLSDWLJ	WIJ	WIJ	15219	61828	5
200	WINSFORD	0	WNSFD	WSF	WSF	13671	63660	5
201	WIRKSWORTH	0	CATZ007	WIR	WIR	14290	63541	5
202	WOLVERHAMPTON	9	PBLJWM	WVH	WVH	13920	62989	7
203	XC DESTINATION	0	CATZQXD	QXD	QXD	19500	69999	5
204	XC ORIGIN	0	CATZQXO	QXO	QXO	18999	69999	5
